2014-03-14 09:12:56  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:56  INFO | :1394813576249:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:objectstorage
2014-03-14 09:12:56  INFO | :1394813576250:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:objectstorage
2014-03-14 09:12:56  INFO | :1394813576250:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:objectstorage:C=US,O=Cloud,OU=Eucalyptus,CN=objectstorage
2014-03-14 09:12:56  INFO | :1394813576372:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=db, OU=Eucalyptus, O=Cloud, C=US:CN=db, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:56  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:56  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:56  INFO | :1394813576407:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:db
2014-03-14 09:12:56  INFO | :1394813576407:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:db
2014-03-14 09:12:56  INFO | :1394813576408:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:db:C=US,O=Cloud,OU=Eucalyptus,CN=db
2014-03-14 09:12:56  INFO | :1394813576939:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=jetty, OU=Eucalyptus, O=Cloud, C=US:CN=jetty, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:56  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:56  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:56  INFO | :1394813576977:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:jetty
2014-03-14 09:12:56  INFO | :1394813576977:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:jetty
2014-03-14 09:12:56  INFO | :1394813576978:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:jetty:C=US,O=Cloud,OU=Eucalyptus,CN=jetty
2014-03-14 09:12:57  INFO | :1394813577788:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=euare, OU=Eucalyptus, O=Cloud, C=US:CN=euare, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:57  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:57  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:57  INFO | :1394813577828:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:euare
2014-03-14 09:12:57  INFO | :1394813577828:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:euare
2014-03-14 09:12:57  INFO | :1394813577829:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:euare:C=US,O=Cloud,OU=Eucalyptus,CN=euare
2014-03-14 09:12:58  INFO | :1394813578593:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=bootstrap, OU=Eucalyptus, O=Cloud, C=US:CN=bootstrap, OU=Eucalyptus, O=Cloud, C=US
2014-03-14 09:12:58  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:58  INFO | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
2014-03-14 09:12:58  INFO | :1394813578636:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:bootstrap
2014-03-14 09:12:58  INFO | :1394813578637:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:bootstrap
2014-03-14 09:12:58  INFO | :1394813578637:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:bootstrap:C=US,O=Cloud,OU=Eucalyptus,CN=bootstrap
2014-03-14 09:12:59  INFO | Found kernel parameters semmni=8192, semmns=32000, shmall=4295098368, shmmax=68719476736
2014-03-14 09:12:59  INFO | Postgres command : '/usr/pgsql-9.1//bin/initdb' '--encoding=UTF8' '--locale=C' '-Ueucalyptus' '--auth=password' '--pwfile=/var/lib/eucalyptus/db/pass.txt' '-D//var/lib/eucalyptus/db/data' '-X/var/lib/eucalyptus/db/tx' '--encoding=UTF8'
2014-03-14 09:13:00  INFO | stdout: The files belonging to this database system will be owned by user "eucalyptus".
2014-03-14 09:13:00  INFO | stdout: This user must also own the server process.
2014-03-14 09:13:00  INFO | stdout: 
2014-03-14 09:13:00  INFO | stdout: The database cluster will be initialized with locale C.
2014-03-14 09:13:00  INFO | stdout: The default text search configuration will be set to "english".
2014-03-14 09:13:00  INFO | stdout: 
2014-03-14 09:13:00  INFO | stdout: creating directory /var/lib/eucalyptus/db/data ... ok
2014-03-14 09:13:00  INFO | stdout: creating directory /var/lib/eucalyptus/db/tx ... ok
2014-03-14 09:13:00  INFO | stdout: creating subdirectories ... ok
2014-03-14 09:13:00  INFO | stdout: selecting default max_connections ... 100
2014-03-14 09:13:00  INFO | stdout: selecting default shared_buffers ... 32MB
2014-03-14 09:13:00  INFO | stdout: creating configuration files ... ok
2014-03-14 09:13:00  INFO | stdout: creating template1 database in /var/lib/eucalyptus/db/data/base/1 ... ok
2014-03-14 09:13:00  INFO | stdout: initializing pg_authid ... ok
2014-03-14 09:13:00  INFO | stdout: setting password ... ok
2014-03-14 09:13:00  INFO | stdout: initializing dependencies ... ok
