	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:125)
	at Script3.run(Script3.groovy:28)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:314)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:111)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:103)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:96)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:113)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:117)
	at com.eucalyptus.bootstrap.Bootstrap.initializeSystem(Bootstrap.java:615)
	at com.eucalyptus.bootstrap.SystemBootstrapper.load(SystemBootstrapper.java:213)
Caused by: java.lang.NoSuchMethodException: com.eucalyptus.component.ComponentIds$1.<init>()
	at java.lang.Class.getConstructor0(Class.java:2723)
	at java.lang.Class.getConstructor(Class.java:1674)
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:196)
	... 19 more
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | Error occurred while trying to register ComponentId of type: null
java.lang.reflect.UndeclaredThrowableException
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:204)
	at com.eucalyptus.util.Classes.newInstance(Classes.java:232)
	at com.eucalyptus.component.ComponentIds.lookup(ComponentIds.java:91)
	at com.eucalyptus.component.ComponentDiscovery.processClass(ComponentDiscovery.java:82)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.checkClass(ServiceJarDiscovery.java:231)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.runDiscovery(ServiceJarDiscovery.java:222)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery.doSingleDiscovery(ServiceJarDiscovery.java:195)
	at com.eucalyptus.bootstrap.ServiceJarDiscovery$doSingleDiscovery.call(Unknown Source)
	at org.codehaus.groovy.runtime.callsite.CallSiteArray.defaultCall(CallSiteArray.java:40)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:117)
	at org.codehaus.groovy.runtime.callsite.AbstractCallSite.call(AbstractCallSite.java:125)
	at Script3.run(Script3.groovy:28)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:314)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:111)
	at org.codehaus.groovy.jsr223.GroovyScriptEngineImpl.eval(GroovyScriptEngineImpl.java:103)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:96)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:113)
	at com.eucalyptus.scripting.Groovyness.run(Groovyness.java:117)
	at com.eucalyptus.bootstrap.Bootstrap.initializeSystem(Bootstrap.java:615)
	at com.eucalyptus.bootstrap.SystemBootstrapper.load(SystemBootstrapper.java:213)
Caused by: java.lang.NoSuchMethodException: com.eucalyptus.component.ComponentIds$1.<init>()
	at java.lang.Class.getConstructor0(Class.java:2723)
	at java.lang.Class.getConstructor(Class.java:1674)
	at com.eucalyptus.util.Classes$InstanceBuilder.newInstance(Classes.java:196)
	... 19 more
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560023:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Euare
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560024:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Eucalyptus.Notifications
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560025:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Walrus
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560026:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.ClusterController.NodeController
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560027:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.Reporting
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560028:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.ClusterController.GatherLogService
Thu May 24 14:22:40 2012  INFO ComponentDiscovery      | :1337894560029:ComponentDiscovery:bootstrap:BOOTSTRAP_INIT_COMPONENT:com.eucalyptus.component.id.HttpService
Thu May 24 14:22:40 2012  INFO ServiceJarDiscovery     | --------------------------------------------------------------------------------
                                                       | ServiceBuilderDiscovery
                                                       | --------------------------------------------------------------------------------
Thu May 24 14:22:40 2012  INFO ServiceJarDiscovery     | --------------------------------------------------------------------------------
                                                       | PersistenceContextDiscovery
                                                       | --------------------------------------------------------------------------------
Thu May 24 14:22:41 2012  INFO DefaultCryptoProvider   | :1337894561512:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=eucalyptus, OU=Eucalyptus, O=Cloud, C=US:CN=eucalyptus, OU=Eucalyptus, O=Cloud, C=US
Thu May 24 14:22:41 2012  INFO PEMFiles                | :1337894561583:PEMFiles:bootstrap:CERTIFICATE_WRITE://var/lib/eucalyptus/keys/cloud-cert.pem
Thu May 24 14:22:41 2012  INFO PEMFiles                | :1337894561588:PEMFiles:bootstrap:CERTIFICATE_WRITE://var/lib/eucalyptus/keys/cloud-pk.pem
Thu May 24 14:22:41 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:41 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:41 2012  INFO SystemCredentials       | :1337894561698:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:eucalyptus
Thu May 24 14:22:41 2012  INFO SystemCredentials       | :1337894561699:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:eucalyptus
Thu May 24 14:22:41 2012  INFO SystemCredentials       | :1337894561699:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:eucalyptus:C=US,O=Cloud,OU=Eucalyptus,CN=eucalyptus
Thu May 24 14:22:42 2012  INFO DefaultCryptoProvider   | :1337894562682:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=db, OU=Eucalyptus, O=Cloud, C=US:CN=db, OU=Eucalyptus, O=Cloud, C=US
Thu May 24 14:22:42 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:42 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:42 2012  INFO SystemCredentials       | :1337894562733:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:db
Thu May 24 14:22:42 2012  INFO SystemCredentials       | :1337894562734:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:db
Thu May 24 14:22:42 2012  INFO SystemCredentials       | :1337894562735:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:db:C=US,O=Cloud,OU=Eucalyptus,CN=db
Thu May 24 14:22:43 2012  INFO DefaultCryptoProvider   | :1337894563647:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=bootstrap, OU=Eucalyptus, O=Cloud, C=US:CN=bootstrap, OU=Eucalyptus, O=Cloud, C=US
Thu May 24 14:22:43 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:43 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:43 2012  INFO SystemCredentials       | :1337894563692:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:bootstrap
Thu May 24 14:22:43 2012  INFO SystemCredentials       | :1337894563693:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:bootstrap
Thu May 24 14:22:43 2012  INFO SystemCredentials       | :1337894563694:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:bootstrap:C=US,O=Cloud,OU=Eucalyptus,CN=bootstrap
Thu May 24 14:22:43 2012  INFO DefaultCryptoProvider   | :1337894563954:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=storage, OU=Eucalyptus, O=Cloud, C=US:CN=storage, OU=Eucalyptus, O=Cloud, C=US
Thu May 24 14:22:43 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:43 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:44 2012  INFO SystemCredentials       | :1337894564007:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:storage
Thu May 24 14:22:44 2012  INFO SystemCredentials       | :1337894564007:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:storage
Thu May 24 14:22:44 2012  INFO SystemCredentials       | :1337894564008:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:storage:C=US,O=Cloud,OU=Eucalyptus,CN=storage
Thu May 24 14:22:44 2012  INFO DefaultCryptoProvider   | :1337894564604:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=jetty, OU=Eucalyptus, O=Cloud, C=US:CN=jetty, OU=Eucalyptus, O=Cloud, C=US
Thu May 24 14:22:44 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:44 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:44 2012  INFO SystemCredentials       | :1337894564659:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:jetty
Thu May 24 14:22:44 2012  INFO SystemCredentials       | :1337894564660:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:jetty
Thu May 24 14:22:44 2012  INFO SystemCredentials       | :1337894564661:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:jetty:C=US,O=Cloud,OU=Eucalyptus,CN=jetty
Thu May 24 14:22:45 2012  INFO DefaultCryptoProvider   | :1337894565768:DefaultCryptoProvider:bootstrap:GENERATE_CERTIFICATE:CN=walrus, OU=Eucalyptus, O=Cloud, C=US:CN=walrus, OU=Eucalyptus, O=Cloud, C=US
Thu May 24 14:22:45 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:45 2012  INFO AbstractKeyStore        | Writing back keystore: //var/lib/eucalyptus/keys/euca.p12
Thu May 24 14:22:45 2012  INFO SystemCredentials       | :1337894565825:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:walrus
Thu May 24 14:22:45 2012  INFO SystemCredentials       | :1337894565826:SystemCredentials:bootstrap:COMPONENT_INFO:initializing:walrus
Thu May 24 14:22:45 2012  INFO SystemCredentials       | :1337894565826:SystemCredentials:bootstrap:COMPONENT_INFO:initialized:walrus:C=US,O=Cloud,OU=Eucalyptus,CN=walrus
Thu May 24 14:22:46 2012  INFO setup_db                | Found kernel parameters semmni=8192, semmns=32000, shmall=4194304, shmmax=17179869184
Thu May 24 14:22:49 2012  INFO PEMFiles                | :1337894569629:PEMFiles:bootstrap:CERTIFICATE_WRITE:/var/lib/eucalyptus/db/data/server.crt
Thu May 24 14:22:49 2012  INFO PEMFiles                | :1337894569636:PEMFiles:bootstrap:CERTIFICATE_WRITE:/var/lib/eucalyptus/db/data/server.key
Thu May 24 14:22:50 2012  INFO Bootstrap               | :1337894570715:Bootstrap:bootstrap:COMPONENT_REGISTERED:Component db=available service=not-local
                                                       | :1337894570715:Bootstrap::bootstrap:COMPONENT_REGISTERED:
Thu May 24 14:22:58 2012  INFO Component               | :1337894578826:Component:bootstrap:COMPONENT_SERVICE_REGISTERED:db:local:ServiceConfiguration db arn:euca:eucalyptus:db:192.168.51.99/ 192.168.51.99:8777:/eucalyptus:vm-local:host-local:INITIALIZED
Thu May 24 14:23:00 2012 ERROR SystemBootstrapper      | java.lang.ExceptionInInitializerError
java.lang.ExceptionInInitializerError
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:57)
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
	at java.lang.reflect.Constructor.newInstance(Constructor.java:532)
	at java.lang.Class.newInstance0(Class.java:372)
	at java.lang.Class.newInstance(Class.java:325)
	at org.jboss.cache.factories.TransactionManagerFactory.construct(TransactionManagerFactory.java:56)
	at org.jboss.cache.factories.ComponentRegistry.getOrCreateComponent(ComponentRegistry.java:318)
	at org.jboss.cache.factories.ComponentRegistry.invokeInjectionMethod(ComponentRegistry.java:279)
	at org.jboss.cache.factories.ComponentRegistry$Component.injectDependencies(ComponentRegistry.java:981)
	at org.jboss.cache.factories.ComponentRegistry.registerComponent(ComponentRegistry.java:255)
	at org.jboss.cache.factories.ComponentRegistry.getOrCreateComponent(ComponentRegistry.java:325)
	at org.jboss.cache.factories.ComponentRegistry.invokeInjectionMethod(ComponentRegistry.java:279)
	at org.jboss.cache.factories.ComponentRegistry$Component.injectDependencies(ComponentRegistry.java:981)
	at org.jboss.cache.factories.ComponentRegistry.registerComponent(ComponentRegistry.java:255)
	at org.jboss.cache.factories.InterceptorChainFactory.createInterceptor(InterceptorChainFactory.java:60)
	at org.jboss.cache.factories.InterceptorChainFactory.buildInterceptorChain(InterceptorChainFactory.java:75)
	at org.jboss.cache.factories.InterceptorChainFactory.construct(InterceptorChainFactory.java:225)
