cloud-output.log.4:Thu Oct 4 23:16:53 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:17:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:17:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:18:38 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:18:38 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:20:02 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:20:02 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:20:42 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:20:42 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:21:49 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:21:49 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:22:36 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:22:36 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:24:00 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:24:00 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:25:38 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:25:38 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:26:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:26:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:28:21 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:28:21 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:29:49 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:29:49 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:31:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:31:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:33:10 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:33:10 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:35:01 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:35:01 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:36:41 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:36:41 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:37:57 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:37:57 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:39:36 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:39:36 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:40:38 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:40:38 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:42:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:42:31 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:43:58 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:43:58 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:44:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:44:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:46:00 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:46:00 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:46:29 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:46:29 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:47:22 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:47:22 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:49:11 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:49:11 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:50:26 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:50:26 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:51:54 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:51:54 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:52:31 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:52:31 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:54:10 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:54:10 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:55:38 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:55:38 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:56:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:56:52 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:57:22 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:57:22 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:58:58 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:58:58 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:59:51 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Thu Oct 4 23:59:51 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:01:41 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:01:41 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:03:10 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:03:10 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:04:48 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:04:48 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:05:50 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:05:50 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:06:30 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:06:30 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:08:18 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:08:18 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.4:Fri Oct 5 00:09:12 2012  INFO Broker                  | enabling VMware Broker
