2016-02-25 02:15:24 DEBUG 000001031 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001065 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001020 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001092 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001093 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001013 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000000968 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001009 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001074 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001034 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001062 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000000973 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:24 DEBUG 000001061 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000000974 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001003 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001032 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001008 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001012 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000001087 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:24 DEBUG 000000981 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001053 DnsResolvers             | DnsResolver: A imaging.cloud.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001089 DnsResolvers             | DnsResolver: AAAA imaging.cloud.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001029 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:25 DEBUG 000001051 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:25 DEBUG 000000997 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001075 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001002 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001086 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001001 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000000993 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000000999 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001079 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001004 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001043 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000001069 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:25 DEBUG 000001071 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:25 DEBUG 000001019 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:25 DEBUG 000000983 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
